,CIK,Ticker,FilingDate,FileName,SECFileName,DocTypes
1230,1089819,CNL,20160725,0001089819-16-000137.txt.text,0001089819-16-000137.txt,
1231,1095981,CYTX,20160714,0001095981-16-000088.txt.text,0001095981-16-000088.txt,
1232,1117171,CBAK,20160929,0001062993-16-011592.txt.text,0001062993-16-011592.txt,
1233,1157601,SNTA,20160722,0001104659-16-133914.txt.text,0001104659-16-133914.txt,
1234,1157601,SNTA,20160930,0001104659-16-147932.txt.text,0001104659-16-147932.txt,
1235,1377630,NCMI,20160819,0001193125-16-686539.txt.text,0001193125-16-686539.txt,
1236,1495320,VRA,20160719,0001495320-16-000081.txt.text,0001495320-16-000081.txt,
1237,1616817,MPG,20160721,0001564590-16-021327.txt.text,0001564590-16-021327.txt,
1238,1617640,Z,20160804,0001193125-16-671808.txt.text,0001193125-16-671808.txt,
1239,31347,ELON,20160809,0000031347-16-000067.txt.text,0000031347-16-000067.txt,
1240,4904,AEP,20160729,0000004904-16-000088.txt.text,0000004904-16-000088.txt,
1241,751652,STR,20160916,0001193125-16-712322.txt.text,0001193125-16-712322.txt,
1242,77159,PVA,20160915,0001193125-16-711010.txt.text,0001193125-16-711010.txt,
1243,833444,TYC,20160909,0001104659-16-143835.txt.text,0001104659-16-143835.txt,
1244,840489,FCFS,20160830,0000840489-16-000123.txt.text,0000840489-16-000123.txt,
1245,855683,MS,20160721,0001437749-16-035444.txt.text,0001437749-16-035444.txt,
1246,882508,QUIK,20160824,0000882508-16-000069.txt.text,0000882508-16-000069.txt,
1247,886163,LGND,20160826,0000886163-16-000215.txt.text,0000886163-16-000215.txt,
1248,892986,WRES,20160830,0001193125-16-696962.txt.text,0001193125-16-696962.txt,
1249,946454,BTN,20160707,0001493152-16-011396.txt.text,0001493152-16-011396.txt,
1250,1075736,EXE,20161004,0001654954-16-002628.txt.text,0001654954-16-002628.txt,
1251,1272830,VG,20161205,0001272830-16-000180.txt.text,0001272830-16-000180.txt,
1252,1275187,ANGO,20161007,0000914121-16-001523.txt.text,0000914121-16-001523.txt,
1253,1287213,PLOW,20161223,0001104659-16-163770.txt.text,0001104659-16-163770.txt,
1254,1322505,BIOD,20161104,0001193125-16-760300.txt.text,0001193125-16-760300.txt,
1255,1333822,LEDS,20161222,0001333822-16-000006.txt.text,0001333822-16-000006.txt,
1256,1333822,LEDS,20161209,0001558370-16-010492.txt.text,0001558370-16-010492.txt,
1257,1483195,ORIT,20161214,0001483195-16-000054.txt.text,0001483195-16-000054.txt,
1258,1504747,SWSH,20161109,0001654954-16-003702.txt.text,0001654954-16-003702.txt,
1259,1511737,UBNT,20161208,0001415889-16-007559.txt.text,0001415889-16-007559.txt,
1260,743316,MXIM,20161128,0000743316-16-000097.txt.text,0000743316-16-000097.txt,
1261,854775,DGII,20161216,0001193125-16-795271.txt.text,0001193125-16-795271.txt,
1262,908259,OXGN,20161215,0001193125-16-793884.txt.text,0001193125-16-793884.txt,
1263,91388,SFD,20161103,0000091388-16-000079.txt.text,0000091388-16-000079.txt,
1264,943861,GDP,20161114,0001564590-16-029172.txt.text,0001564590-16-029172.txt,
